Destination,Accommodation type,Accommodation cost,Transportation type,
"London, UK",Hotel,1200.00,Flight,
"Phuket, Thailand",Resort,800.00,Flight,
"Bali, Indonesia",Villa,1000.00,Flight,
"New York, USA",Hotel,2000.00,Flight,
"Tokyo, Japan",Airbnb,700.00,Train,
"Paris, France",Hotel,1500.00,Flight,
"Sydney, Australia",Hotel,500.00,Flight,
"Rio de Janeiro, Brazil",Airbnb,900.00,Flight,
"Amsterdam, Netherlands",Hotel,1200.00,Train,
"Dubai, United Arab Emirates",Resort,2500.00,Flight,
"Cancun, Mexico",Hotel,1000.00,Flight,
"Barcelona, Spain",Airbnb,800.00,Train,
"Honolulu, Hawaii",Resort,3000.00,Flight,
"Berlin, Germany",Hotel,1400.00,Flight,
"Marrakech, Morocco",Riad,600.00,Flight,
"Edinburgh, Scotland",Hotel,900.00,Train,
Paris,Hotel,900.00,Flight,
Bali,Resort,1000.00,Flight,
London,Hotel,1200.00,Train,
Tokyo,Hotel,1200.00,Flight,
New York,Airbnb,600.00,Bus,
Sydney,Hotel,1000.00,Flight,
Rome,Airbnb,700.00,Train,
Bangkok,Hotel,400.00,Flight,
Paris,Hotel,1400.00,Train,
Hawaii,Resort,2000.00,Flight,
Barcelona,Hotel,1100.00,Train,
Japan,Hotel,800.00,Flight,
Thailand,Hotel,200.00,Train,
France,Airbnb,600.00,Car rental,
Australia,Hotel,1000.00,Car rental,
Brazil,Hotel,150.00,Bus,
Greece,Airbnb,400.00,Flight,
Egypt,Hotel,700.00,Train,
Mexico,Airbnb,500.00,Flight,
Italy,Hotel,180.00,Train,
Spain,Hotel,900.00,Car rental,
Canada,Airbnb,350.00,Bus,
"Paris, France",Hotel,1400.00,Flight,
"Sydney, Australia",Airbnb,800.00,Train,
"Tokyo, Japan",Hotel,500.00,Flight,
"Cancun, Mexico",Resort,2200.00,Flight,
"Rio de Janeiro, Brazil",Hotel,1200.00,Flight,
"London, UK",Airbnb,900.00,Train,
"Barcelona, Spain",Hotel,600.00,Flight,
"New York City, USA",Hotel,1500.00,Flight,
"Bangkok, Thailand",Airbnb,500.00,Bus,
"Vancouver, Canada",Hotel,400.00,Train,
"Amsterdam, Netherlands",Hotel,1100.00,Flight,
"Paris, France",Hotel,1200.00,Train,
"Tokyo, Japan",Hotel,500.00,Bus,
"Sydney, AUS",Airbnb,900.00,Car rental,
"New York, USA",Hotel,1400.00,Flight,
"Rio de Janeiro, Brazil",Airbnb,800.00,Train,
"Bangkok, Thailand",Hotel,400.00,Bus,
"London, UK",Hotel,1000.00,Train,
"Barcelona, Spain",Airbnb,700.00,Car rental,
"Seoul, South Korea",Hotel,500.00,Subway,
"Los Angeles, USA",Hotel,1200.00,Car rental,
"Rome, Italy",Airbnb,800.00,Train,
Paris,Hotel,1200.00,Flight,
Tokyo,Hotel,400.00,Train,
Cape Town,Vacation rental,800.00,Car rental,
Sydney,Hotel,1500.00,Flight,
Barcelona,Vacation rental,900.00,Flight,
Bali,Resort,2200.00,Flight,
Paris,Hotel,1100.00,Train,
New York,Vacation rental,1000.00,Flight,
Bangkok,Hotel,300.00,Flight,
Rome,Hotel,1300.00,Train,
Bali,Resort,1800.00,Flight,
"Bali, Indonesia",Resort,500.00,Flight,
"Tokyo, Japan",Hotel,1000.00,Train,
"Cancun, Mexico",Resort,800.00,Flight,
"Paris, France",Hotel,1200.00,Flight,
"Cape Town, SA",Guesthouse,400.00,Car,
"Bali, Indonesia",Resort,600.00,Flight,
"Sydney, Aus",Hotel,900.00,Flight,
"Bangkok, Thai",Hotel,400.00,Flight,
"New York, USA",Hotel,1500.00,Flight,
"Phuket, Thai",Resort,700.00,Flight,
"Rome, Italy",Hotel,100.00,,
Paris,Hotel,800.00,Flight,
Tokyo,Airbnb,500.00,Train,
Bali,Resort,1200.00,Flight,
Sydney,Hotel,900.00,Flight,
New York,Airbnb,700.00,Car rental,
London,Hotel,300.00,Flight,
Dubai,Hotel,2000.00,Flight,
Bangkok,Airbnb,400.00,Train,
Rome,Hotel,200.00,Flight,
Bali,Villa,1500.00,Car rental,
Seoul,Hotel,800.00,Train,
Paris,Hotel,500.00,Flight,
Tokyo,Airbnb,400.00,Train,
Sydney,Hotel,200.00,Flight,
London,Hotel,600.00,Flight,
New York,Airbnb,800.00,Car rental,
Rome,Hotel,700.00,Flight,
Bangkok,Hotel,300.00,Train,
Cape Town,Airbnb,500.00,Flight,
Rio de Janeiro,Hotel,900.00,Car rental,
Bali,Villa,1200.00,Flight,
Amsterdam,Hotel,600.00,Train,
Paris,Hotel,1000.00,Flight,
Tokyo,Airbnb,800.00,Train,
New York,Hotel,1200.00,Car rental,
Bali,Resort,1500.00,Flight,
Sydney,Hotel,300.00,Flight,
London,Hotel,900.00,Train,
Phuket,Villa,2000.00,Flight,
Rome,Hotel,1100.00,Train,
Santorini,Airbnb,1000.00,Ferry,
Dubai,Hotel,1500.00,Car rental,
Phnom Penh,Hotel,200.00,Flight,
"Tokyo, Japan",Hotel,1000.00,Flight,
"Paris, France",Hotel,1200.00,Train,
"Sydney, Aus",Airbnb,800.00,Flight,
"Rome, Italy",Hotel,900.00,Train,
"Bali, Indonesia",Hotel,500.00,Flight,
"Cancun, Mexico",Hotel,1300.00,Flight,
"Athens, Greece",Airbnb,700.00,Flight,
"Tokyo, Japan",Hotel,1200.00,Flight,
"Sydney, Aus",Airbnb,900.00,Flight,
"Paris, France",Hotel,400.00,Flight,
"Bali, Indonesia",Hotel,800.00,Flight,
"Paris, France",Hotel,5000.00,Flight,
"Tokyo, Japan",Airbnb,7000.00,Train,
"Cape Town, South Africa",Hotel,3000.00,Car,
"Sydney, Australia",Hotel,10000.00,Flight,
"Rome, Italy",Airbnb,2000.00,Train,
"New York City, USA",Hotel,2300.00,Flight,
"Rio de Janeiro, Brazil",Hotel,2500.00,Car,
"Vancouver, Canada",Hotel,9300.00,Flight,
"Bangkok, Thailand",Hotel,6000.00,Train,
"Barcelona, Spain",Airbnb,8500.00,Flight,
"Auckland, New Zealand",Hotel,7000.00,Train,
